site,plot,size,记录名称,中名,species,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,cover,production,investigator,recorder,time,Total cover(%),AH1,AH2,AH3,AH4,AH5
H,I-8,50cm*50cm,康定风毛菊,,Saussurea ceterach,1.6,2,1.1,1.6,1.7,1.2,1,1.3,1.2,1.4,0.8,0.2032 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,康定风毛菊,,Saussurea ceterach,0.8,0.4,0.6,0.8,0.5,1,0.6,0.5,0.4,0.6,6,0.8502 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,康定风毛菊,,Saussurea ceterach,0.8,0.5,0.4,0.4,0.3,0.8,0.4,0.5,0.4,0.6,3.5,0.4313 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,康定风毛菊,,Saussurea ceterach,0.8,0.9,1.1,0.6,0.5,0.8,1.2,1.1,1.3,0.9,4,1.2667 ,张莉,何小红,2015.08.01,,,,,,
H,I-12,50cm*50cm,康定风毛菊,,Saussurea ceterach,1.1,0.7,0.5,0.3,0.8,0.7,0.4,0.8,0.7,0.6,4,0.4616 ,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,康定风毛菊,,Saussurea ceterach,0.8,0.7,0.6,0.8,1.2,1.3,0.9,0.7,0.6,0.7,8.5,2.7325 ,张莉,何小红,2015.08.01,,,,,,
H,I-2,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,4.5,7.5,3.4,6.1,8.2,,,,,,2.5,0.9497 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,5.6,6.7,5.6,2.3,5.1,6.7,,,,,1,0.4696 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,6.7,5.5,5.6,6,5.1,3.4,,,,,1,0.3130 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,3.5,4.2,4.5,4.5,4.3,4.5,5.6,,,,0.8,0.4548 ,张莉,谭开军,2015.07.26,,,,,,
H,I-6,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,5.5,,,,,,,,,,0.2,0.3686 ,张莉,谭开军,2015.07.26,,,,,,
H,I-7,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,3.4,2.8,5.5,3,4.5,4.1,3,5.6,5.5,4.5,4,1.6347 ,张莉,谭开军,2015.07.26,,,,,,
H,I-8,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,5.5,5.6,5.2,4.2,4,6.7,7,4.5,8.9,4.7,3,0.7505 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,7.8,6,5.5,4.5,6,,,,,,1.2,0.6332 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,4.5,4.3,3.4,4.6,5.2,6.5,7.4,5.6,3.6,4.2,2,0.7021 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,3.8,4.3,2.8,3.8,8.7,3.8,7.8,6.5,3.5,3.1,1.8,0.2703 ,张莉,何小红,2015.08.01,,,,,,
H,I-12,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,5.6,4.6,4.3,6.4,3.8,6.5,4.3,4.5,6.7,5.3,2,0.1546,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,宽叶羊茅,,Deyeuxia pulchella,4.5,7.2,5.4,4.1,5.6,4.3,,,,,1,0.2457 ,张莉,何小红,2015.08.01,,,,,,
H,I-1,50cm*50cm,蓝钟花,,Cyananthus incanus,1.5,1.8,0.8,1.5,2.2,1.5,2,,,,1,0.5987 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-2,50cm*50cm,蓝钟花,,Cyananthus incanus,2.6,1.8,2.1,,,,,,,,0.8,0.0501 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,蓝钟花,,Cyananthus incanus,1.8,2.1,2.3,2.1,1.6,1.9,1.8,1.2,1.2,1.3,1.5,0.1667 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,蓝钟花,,Cyananthus incanus,1,0.8,0.9,1,1,1.1,1.7,1.6,1,1,4,1.3067 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,蓝钟花,,Cyananthus incanus,0.8,0.6,0.5,0.3,0.5,0.5,1.4,1.3,0.8,1.2,2.5,0.4844 ,张莉,谭开军,2015.07.26,,,,,,
H,I-6,50cm*50cm,蓝钟花,,Cyananthus incanus,1.2,1.5,1.8,0.8,1.1,1.3,1.1,0.9,1.2,2,2,0.2974 ,张莉,谭开军,2015.07.26,,,,,,
H,I-7,50cm*50cm,蓝钟花,,Cyananthus incanus,1.1,1.2,1.3,1.4,1.5,1.8,1.1,2,1.1,2.3,2.5,1.3168 ,张莉,谭开军,2015.07.26,,,,,,
H,I-8,50cm*50cm,蓝钟花,,Cyananthus incanus,1.5,1.8,1.2,1.1,0.8,1.3,1.2,2.4,1.8,0.5,2.5,0.3962 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,蓝钟花,,Cyananthus incanus,1.8,1.5,1.8,1.6,1.1,1.1,1.5,2,1.6,2.3,4,1.1753 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,蓝钟花,,Cyananthus incanus,2.1,2,1.3,1.1,1.6,1.4,1.8,0.8,0.4,1.1,4,0.1876 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,蓝钟花,,Cyananthus incanus,1.1,1.3,1.2,0.8,0.7,0.6,1.8,2.3,1.8,1.1,3,0.6201 ,张莉,何小红,2015.08.01,,,,,,
H,I-12,50cm*50cm,蓝钟花,,Cyananthus incanus,2.2,0.5,0.6,0.8,0.5,0.5,0.4,0.4,0.5,0.5,2,0.1867 ,张莉,何小红,2015.08.01,,,,,,
H,I-13,50cm*50cm,蓝钟花,,Cyananthus incanus,0.8,0.7,0.6,0.8,1.2,1.3,0.9,0.7,0.6,0.7,5,1.8718 ,张莉,何小红,2015.08.01,,,,,,
H,I-1,50cm*50cm,龙胆,,Gentiana crassula,0.8,0.3,1.5,1.3,1.9,2.1,,,,,0.8,0.1681 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-2,50cm*50cm,龙胆,,Gentiana crassula,2,1.7,2.1,1.8,1.6,1.1,1.5,0.8,1.1,0.8,1,0.1285 ,张莉,彭阿辉,2015.07.24,,,,,,
H,I-3,50cm*50cm,龙胆,,Gentiana crassula,1.8,1.8,1.3,2.1,,,,,,,0.5,0.1242 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-4,50cm*50cm,龙胆,,Gentiana crassula,0.8,0.9,0.3,0.8,0.7,0.6,0.5,1.3,1.8,1.2,1,0.2664 ,张莉,彭阿辉,2015.07.25,,,,,,
H,I-5,50cm*50cm,龙胆,,Gentiana crassula,0.5,0.4,0.3,0.8,1.1,1.3,1.8,0.8,0.3,0.5,1,0.2477 ,张莉,谭开军,2015.07.26,,,,,,
H,I-6,50cm*50cm,龙胆,,Gentiana crassula,1.1,1.3,1.5,1.5,1.2,0.9,0.8,0.7,1.1,0.5,2.5,0.3328 ,张莉,谭开军,2015.07.26,,,,,,
H,I-7,50cm*50cm,龙胆,,Gentiana crassula,1,1.2,1.8,1.6,0.9,1.3,1.1,1.4,0.8,0.3,1,0.1831 ,张莉,谭开军,2015.07.26,,,,,,
H,I-8,50cm*50cm,龙胆,,Gentiana crassula,1.2,1.1,0.8,0.7,1.1,1.2,1.6,0.9,0.9,1.1,1.5,0.3814 ,张莉,谭开军,2015.07.26,,,,,,
H,I-9,50cm*50cm,龙胆,,Gentiana crassula,0.8,1.3,0.9,0.7,0.7,1.1,1.3,0.8,0.8,,0.5,0.1485 ,张莉,彭阿辉,2015.07.29,,,,,,
H,I-10,50cm*50cm,龙胆,,Gentiana crassula,0.8,0.6,0.6,1.1,0.3,0.8,1.2,0.8,0.6,0.5,1,0.0238 ,张莉,何小红,2015.08.01,,,,,,
H,I-11,50cm*50cm,龙胆,,Gentiana crassula,1.8,1.5,0.9,0.3,0.5,0.9,1,1.1,1.3,1.2,1.8,0.2954 ,张莉,何小红,2015.08.01,,,,,,
H,I-12,50cm*50cm,龙胆,,Gentiana crassula,0.8,0.7,0.6,1.1,1,0.9,0.8,0.7,0.7,0.8,1.5,0.0385 ,张莉,何小红,2015.08.01,,,,,,
